,name,company,Price,kms_driven,fuel_type,Age
791,Chevrolet Beat LS Diesel,Chevrolet,189000,31000,Diesel,9
793,Mahindra Xylo E8 BS IV,Mahindra,365000,43000,Diesel,12
794,Hyundai Eon D Lite Plus,Hyundai,170000,20000,Petrol,10
804,Tata Sumo Gold FX BSIII,Tata,215000,100000,Petrol,10
813,Tata Nano,Tata,60000,7000,Petrol,10
814,Hyundai Elite i20,Hyundai,599999,31000,Petrol,6
815,Hyundai i10 Magna 1.2 Kappa2,Hyundai,400000,33000,Petrol,14
816,Hyundai Creta,Hyundai,900000,60000,Diesel,7
817,Volkswagen Polo,Volkswagen,299999,48000,Diesel,10
818,Maruti Suzuki Dzire,Maruti,374999,33000,Petrol,9
819,Tata Bolt XM Petrol,Tata,600000,15000,Petrol,8
820,Maruti Suzuki Alto 800 Lx,Maruti,70000,47000,Petrol,18
821,Maruti Suzuki Alto,Maruti,100000,40000,Petrol,18
823,Maruti Suzuki Ritz,Maruti,150000,38000,Diesel,13
824,Maruti Suzuki Alto 800 Lxi,Maruti,225000,12500,Petrol,6
825,Maruti Suzuki Dzire,Maruti,210000,42000,Petrol,14
827,Hyundai i20 Asta,Hyundai,425000,31000,Petrol,9
828,Maruti Suzuki Swift Select Variant,Maruti,162000,60000,Diesel,15
829,Tata Indica V2 DLX BS III,Tata,60000,80000,Diesel,18
830,Mahindra Scorpio VLX 2.2 mHawk Airbag BSIV,Mahindra,650000,77000,Diesel,9
831,Toyota Innova 2.5 E 8 STR,Toyota,750000,75000,Diesel,11
832,Mahindra Xylo E8,Mahindra,375000,40000,Diesel,13
833,Hyundai i20 Magna 1.2,Hyundai,230000,47000,Petrol,12
834,Maruti Suzuki Omni,Maruti,35999,60000,Petrol,23
835,Mahindra KUV100,Mahindra,380000,26500,Petrol,7
836,Mahindra KUV100 K8 6 STR,Mahindra,560000,2875,Petrol,4
837,Datsun Go Plus,Datsun,285000,13900,Petrol,7
838,Ford Endeavor 4x4 Thunder Plus,Ford,2900000,9000,Diesel,4
839,Tata Indica V2,Tata,39999,80000,Diesel,18
840,Hyundai Santro Xing GL,Hyundai,85000,60000,Petrol,17
841,Maruti Suzuki Wagon R 1.0 VXi,Maruti,395000,20000,Petrol,7
842,Maruti Suzuki Swift Select Variant,Maruti,175000,58000,Diesel,15
843,Maruti Suzuki Alto 800 Lx,Maruti,400000,1500,Petrol,4
844,Toyota Innova 2.5 Z Diesel 7 Seater,Toyota,750000,75000,Diesel,12
846,Maruti Suzuki Alto 800,Maruti,250000,2450,Petrol,7
847,Maruti Suzuki Alto AX,Maruti,425000,1625,Petrol,4
849,Volkswagen Polo Highline1.2L P,Volkswagen,525000,45000,Petrol,6
850,Mahindra Logan,Mahindra,130000,65000,Diesel,14
851,Maruti Suzuki 800 Std BS III,Maruti,30000,33400,Petrol,23
852,Mahindra Scorpio,Mahindra,475000,60123,Diesel,12
853,Chevrolet Sail 1.2 LS,Chevrolet,300000,28000,Petrol,10
855,Hyundai Santro AE GLS Audio,Hyundai,60000,70000,Petrol,20
856,Maruti Suzuki Wagon R VXi Minor,Maruti,100000,7000,Petrol,17
857,Hyundai Eon,Hyundai,260000,25000,Petrol,5
858,Tata Manza,Tata,100000,100000,Diesel,8
860,Toyota Etios G,Toyota,265000,42000,Petrol,10
861,Hyundai Getz Prime 1.3 GLX,Hyundai,115000,20000,Petrol,14
862,Toyota Qualis,Toyota,180000,100000,Diesel,20
863,Hyundai Santro Xing,Hyundai,45000,137495,Petrol,19
864,Tata Indica eV2 LS,Tata,50500,91200,Diesel,7
865,Honda City 1.5 S MT,Honda,270000,55000,Petrol,14
866,Tata Zest XE 75 PS Diesel,Tata,290000,120000,Diesel,6
867,Mahindra Quanto C4,Mahindra,325000,63000,Diesel,10
868,Tata Indigo eCS LX CR4 BS IV,Tata,160000,104000,Diesel,7
869,Maruti Suzuki Swift Dzire,Maruti,350000,146000,Diesel,7
870,Hyundai Elite i20,Hyundai,290000,40000,Petrol,12
871,Hyundai i20 Select Variant,Hyundai,290000,40000,Petrol,12
872,Chevrolet Tavera Neo,Chevrolet,465000,100800,Diesel,16
873,Maruti Suzuki Dzire,Maruti,325000,150000,Diesel,7
874,Hyundai Elite i20,Hyundai,510000,2100,Petrol,5
875,Honda City VX Petrol,Honda,860000,95000,Petrol,7
876,Maruti Suzuki Dzire,Maruti,450000,2500,Diesel,7
877,Hyundai Getz,Hyundai,125000,80000,Petrol,17
878,Mercedes Benz C Class 200 K MT,Mercedes,500001,15000,Petrol,17
879,Maruti Suzuki Alto LXi BS III,Maruti,95000,65000,Petrol,18
880,Maruti Suzuki Swift Dzire Tour VDi,Maruti,250000,51000,Diesel,14
881,Skoda Fabia,Skoda,110000,45000,Petrol,14
883,Maruti Suzuki Ritz VXI ABS,Maruti,270000,50000,Petrol,12
885,Tata Indica V2 DLE BS III,Tata,110000,30000,Diesel,14
886,Toyota Corolla Altis,Toyota,300000,132000,Petrol,14
888,Tata Zest XM Diesel,Tata,260000,27000,Diesel,5
889,Mahindra Quanto C8,Mahindra,390000,40000,Diesel,10
